,ID,Num_Rooms,has_isolated,has_adjacent,Time_to_subway,Square_m2,Flat_floor,Max_floors,HouseType,Parking,rent,commsumm,deposit,comminc,renttime,prepayment,Renovation
9543,274802644,2,0,0,13,42.0,8,9,45290.64,75981.08,-0.3745193201156168,0.0,-0.0072980184900864374,1,1,1,44493.82
9544,274482920,1,0,0,19,38.0,4,12,45290.64,75981.08,-0.36671748443980334,0.0,-0.007282387618171661,1,1,1,84298.8
9545,274891696,1,0,0,13,42.0,22,22,45290.64,64696.19,-0.343311977412363,0.0,-0.00723549500242733,1,1,1,44493.82
9546,274730693,1,0,0,11,37.0,5,17,124970.37,75981.08,-0.343311977412363,0.0,-0.00723549500242733,1,1,1,44493.82
9547,274396096,2,0,1,7,44.7,4,5,45290.64,64696.19,-0.343311977412363,0.0,-0.00723549500242733,1,1,1,44493.82
9548,274772799,3,1,1,12,58.0,2,9,45290.64,64696.19,-0.26529362065422857,0.0,-0.007079186283279562,1,1,1,44493.82
9549,273927214,2,1,0,12,54.0,7,17,45290.64,75981.08,-0.26529362065422857,0.0,-0.007079186283279562,1,1,1,84298.8
9550,274401614,2,1,0,11,65.0,9,17,45290.64,75981.08,-0.14826608551702697,0.0,-0.006844723204557908,1,1,1,84298.8
9551,272581398,2,1,0,7,63.2,25,32,106839.39,167618.14,-0.031238550379825338,0.0,-0.006610260125836256,1,1,1,84298.8
9552,274820725,3,1,0,6,105.0,2,14,77524.52,75981.08,-0.031238550379825338,0.0,-0.006610260125836256,1,1,1,44493.82
9553,222914651,2,0,1,8,45.0,9,18,106839.39,167618.14,0.00777062799924187,0.0,-0.006532105766262372,1,1,1,173624.09
9554,274082265,4,0,0,12,113.0,10,20,106839.39,167618.14,0.1247981631364435,0.0,-0.006297642687540719,1,1,1,93854.1
9555,270136557,3,0,0,4,86.0,17,22,45290.64,75981.08,0.1638073415155107,0.0,-0.006219488327966835,1,1,1,93854.1
9556,271252332,3,0,0,12,139.0,16,19,106839.39,167618.14,0.2418256982736451,0.0,-0.0060631796088190665,1,0,1,93854.1
9557,253839744,3,0,0,8,115.0,10,20,124970.37,75981.08,0.7489450172015188,0.0,-0.0050471729343585705,0,1,1,173624.09
9558,273927624,1,0,0,13,35.0,4,16,45290.64,75981.08,-0.4369340055221243,0.0,-0.007423065465404653,1,1,1,44493.82
9559,263627242,0,0,0,3,12.0,1,5,45290.64,75981.08,-0.4213303341704974,0.0,-0.007391803721575099,1,1,1,44493.82
9560,274690581,1,0,0,5,33.0,4,5,45290.64,75981.08,-0.3979248271430571,0.0,-0.007344911105830769,0,1,1,44493.82
9561,270999987,1,0,0,17,37.8,9,17,45290.64,64696.19,-0.3979248271430571,0.0,-0.007344911105830769,1,1,1,44493.82
9562,237224433,1,0,0,15,32.0,3,5,45290.64,75981.08,-0.3979248271430571,0.0,-0.007344911105830769,1,1,1,44493.82
9563,273571646,1,0,0,15,35.0,9,9,45290.64,64696.19,-0.39012299146724366,0.0,-0.007329280233915991,1,1,1,44493.82
9564,274288106,1,0,0,5,32.0,4,5,45290.64,75981.08,-0.39012299146724366,0.0,-0.007329280233915991,1,1,1,44493.82
9565,256941825,1,0,0,15,39.0,6,17,45290.64,75981.08,-0.3823211557914302,0.0,-0.007313649362001215,1,1,1,44493.82
9566,274913903,1,0,0,5,38.0,5,12,45290.64,75981.08,-0.3823211557914302,0.0,-0.007313649362001215,1,1,1,44493.82
9567,274246533,1,0,0,7,32.0,5,8,45290.64,75981.08,-0.3823211557914302,0.0,-0.007313649362001215,1,1,1,44493.82
9568,274855656,2,0,1,6,45.0,4,5,45290.64,75981.08,-0.3745193201156168,0.0,-0.0072980184900864374,0,1,1,44493.82
9569,274935323,1,0,0,11,38.1,3,17,45290.64,75981.08,-0.3745193201156168,0.0,-0.0072980184900864374,1,1,1,44493.82
9570,274984935,1,0,0,5,40.0,10,17,45290.64,64696.19,-0.3589156487639899,0.0,-0.007266756746256884,1,1,1,84298.8
9571,274274616,2,0,0,6,47.0,4,5,45290.64,64696.19,-0.343311977412363,0.0,-0.00723549500242733,1,1,1,44493.82
9572,274911673,2,1,0,17,41.0,3,5,45290.64,75981.08,-0.343311977412363,0.0,-0.00723549500242733,1,1,1,44493.82
9573,261521292,1,0,0,9,37.7,7,17,45290.64,75981.08,-0.343311977412363,0.0,-0.00723549500242733,1,1,1,44493.82
9574,274881682,2,0,0,6,50.0,4,5,45290.64,75981.08,-0.343311977412363,0.0,-0.00723549500242733,1,1,1,44493.82
9575,270194128,1,0,0,13,38.0,6,17,45290.64,64696.19,-0.343311977412363,0.0,-0.00723549500242733,1,1,1,44493.82
